STORE,CITY,STATE,ZIP,MSA_NAME,MSA_POP,LATITUDE,LONGITUDE,LONGITUDE_CORR,MSA_INCOME,MSA_HIGH,MSA_BACH
8504,BARTLESVILLE,OK,74006,OK NONMETROPOLITAN AREA,34748,36.733398,95.92404,-95.92404,35827,86.3,30.7
3102,JACKSONVILLE,FL,32225,JACKSONVILLE,40487,30.348585,81.49965,-81.49965,33732,83.6,22.9
4204,CHAPEL HILL,NC,27514,DURHAM,479624,35.915083,79.02939,-79.02939,34099,85.4,38.9
6803,FAIRVIEW PARK,OH,44126,CLEVELAND-ELYRIA-MENTOR,2096471,41.441697,81.85738,-81.85738,35542,82.9,23.3
2004,TULLAHOMA,TN,37388,TN NONMETROPOLITAN AREA,17994,35.357522,86.21484,-86.21484,34119,78.5,24.3
2307,SAN ANTONIO,TX,78238,SAN ANTONIO,1990675,29.479874,98.61509,-98.61509,30109,76.2,19.5
7102,MONTGOMERY,AL,36117,MONTGOMERY,365962,32.373714,86.16443,-86.16443,31083,79.5,24.7
204,HOT SPRINGS,AR,71913,HOT SPRINGS,96371,34.47056,93.08805,-93.08805,27048,74,16.6
6004,HUNTSVILLE,AL,35801,HUNTSVILLE,63902,34.72879,86.57316,-86.57316,33119,83.4,30.9
4902,BILOXI,MS,39531,GULFPORT-BILOXI,231523,30.405831,88.96219,-88.96219,26288,80.3,18.4
3409,BOISE,ID,83704,BOISE CITY-NAMPA,587689,43.63123,116.28716,-116.28716,31569,86.5,24.5
7407,HOUSTON,TX,77024,HOUSTON-SUGAR LAND-BAYTOWN,5628101,29.773994,95.51771,-95.51771,39052,76.4,26.5
3503,MANHATTAN,KS,66502,KS NONMETROPOLITAN AREA,51707,39.184986,96.56932,-96.56932,30463,94.9,48.2
7907,FRIENDSWOOD,TX,77546,HOUSTON-SUGAR LAND-BAYTOWN,5628101,29.516873,95.19472,-95.19472,39052,76.4,26.5
6204,NORTH CHARLESTON,SC,29406,CHARLESTON-NORTH CHARLESTON,630100,32.918757,80.0228,-80.0228,30514,81.3,25
6404,COLUMBIA,SC,29212,COLUMBIA,716030,34.075611,81.17611,-81.17611,30927,84.3,29.2
1904,RIDGELAND,MS,39157,JACKSON,534047,32.420814,90.13134,-90.13134,30830,83,37.9
5503,CRESTVIEW HILLS,KY,41017,CINCINNATI-MIDDLETOWN,2133678,39.036361,84.56801,-84.56801,35618,90,21.2
5103,CINCINNATI,OH,45236,CINCINNATI-MIDDLETOWN,2133678,39.205109,84.39512,-84.39512,35618,82.9,26.4
8309,CENTENNIAL,CO,80122,DENVER-AURORA,2464866,39.582604,104.95834,-104.95834,42574,86.4,34.2
2603,MISSION,KS,66205,KANSAS CITY,1985429,39.030172,94.63097,-94.63097,35859,94.9,47.7
2704,MURFREESBORO,TN,37129,NASHVILLE-MURFREESBORO-FRANKLIN,1521437,35.896645,86.42425,-86.42425,36445,81.4,26.9
7304,CHESAPEAKE,VA,23321,VIRGINIA BEACH-NEWPORT NEWS,1658754,36.826239,76.41524,-76.41524,33316,84.8,23.9
3202,ORANGE PARK,FL,32073,JACKSONVILLE,40487,30.160965,81.72916,-81.72916,33732,83.6,22.9
2103,KANSAS CITY,MO,64114,KANSAS CITY,1985429,38.966056,94.59641,-94.59641,35859,82.5,25.7
1003,MARION,IL,62959,IL NONMETROPOLITAN AREA,17282,37.724504,88.92968,-88.92968,30364,79.8,17.2
